AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Insider_Ownership,3.8,0.1,0.2,10.3,10.7,10.6,0.3
Institutional_Ownership,53.5,58.8,49.3,56.1,54.7,49.4,59.0
Net_Insider_Purchases,167.0,40.0,0.0,206.0,349.0,214.0,18.0
No_of_Employees,192.0,190.0,226.0,236.0,237.0,231.0,220.0
No_of_Institutions,167.0,218.0,193.0,188.0,180.0,165.0,163.0
