AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,0.1,0.2,1.1,1.5,1.5,0.1,0.1,0.0,0.0
Institutional_Ownership,44.7,61.0,59.3,50.6,37.5,43.9,46.9,26.2,25.4
Net_Insider_Purchases,31.0,19.0,11.0,4.0,8.0,15.0,11.0,-11.0,-11.0
No_of_Employees,66.0,55.0,55.0,28.0,28.0,28.0,28.0,26.0,26.0
No_of_Institutions,95.0,113.0,129.0,115.0,103.0,102.0,109.0,83.0,73.0
