AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,2.8,3.8,3.8,2.6,3.5,3.5,2.7,2.3,3.9
Institutional_Ownership,18.7,19.1,19.3,19.9,20.4,23.8,24.1,23.7,23.6
Net_Insider_Purchases,-2.0,74.0,78.0,-16.0,78.0,86.0,68.0,-11.0,12.0
No_of_Employees,9.0,9.0,9.0,17.0,17.0,17.0,17.0,11.0,11.0
No_of_Institutions,34.0,38.0,37.0,45.0,57.0,78.0,80.0,81.0,82.0
