AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021
Insider_Ownership,4.8,4.3,0.0
Institutional_Ownership,63.0,59.3,65.4
Net_Insider_Purchases,1440.0,17301.0,0.0
No_of_Employees,396.0,,
No_of_Institutions,79.0,48.0,73.0
