AAII_KEY_STATISTICS_DATA,12/31/2022,06/30/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,06/30/2020
Insider_Ownership,13.4,13.3,1.0,37.2,18.4,13.8,58.3
Institutional_Ownership,5.1,5.3,6.2,5.8,0.2,0.0,0.0
Net_Insider_Purchases,81.0,68.0,8.0,41.0,-352.0,42.0,917.0
No_of_Employees,15.0,15.0,0.0,0.0,0.0,0.0,0.0
No_of_Institutions,15.0,16.0,14.0,14.0,1.0,0.0,1.0
