AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,0.0,0.0,,,,,,
Institutional_Ownership,65.4,64.2,62.6,64.1,64.5,64.9,54.2,51.5
Net_Insider_Purchases,95.0,262.0,0.0,99.0,144.0,310.0,194.0,247.0
No_of_Employees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No_of_Institutions,52.0,49.0,46.0,52.0,53.0,51.0,48.0,48.0
