AAII_KEY_STATISTICS_DATA,06/30/2022,06/30/2021
Insider_Ownership,4.0,
Institutional_Ownership,78.8,77.4
Net_Insider_Purchases,-40.0,0.0
No_of_Employees,,
No_of_Institutions,46.0,50.0
