AAII_KEY_STATISTICS_DATA,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Insider_Ownership,0.6,0.1,0.1,0.2,0.2,2.2
Institutional_Ownership,99.5,97.7,99.9,96.7,94.1,85.9
Net_Insider_Purchases,199.0,14.0,21.0,52.0,46.0,106.0
No_of_Employees,248.0,237.0,201.0,169.0,142.0,109.0
No_of_Institutions,259.0,297.0,296.0,314.0,296.0,248.0
