AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,3.5,4.0,26.9,3.7,4.3,4.2,2.2,2.5
Institutional_Ownership,28.5,29.3,30.3,31.8,37.8,36.6,37.0,34.9
Net_Insider_Purchases,13.0,16.0,8.0,13.0,23.0,21.0,10.0,10.0
No_of_Employees,185.0,185.0,184.0,184.0,184.0,184.0,194.0,194.0
No_of_Institutions,49.0,52.0,47.0,61.0,70.0,73.0,71.0,69.0
