AAII_KEY_STATISTICS_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,,,,
Institutional_Ownership,87.7,88.4,92.5,57.8
Net_Insider_Purchases,,,,
No_of_Employees,6174.0,6174.0,6324.0,6324.0
No_of_Institutions,14.0,18.0,21.0,6.0
