AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,0.2,1.6,0.5,0.6,1.6,1.6,1.4,1.4
Institutional_Ownership,97.0,95.9,88.5,89.9,89.3,89.5,91.8,92.9
Net_Insider_Purchases,4.0,46.0,-14.0,-9.0,68.0,70.0,256.0,257.0
No_of_Employees,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21300.0,21300.0
No_of_Institutions,429.0,465.0,502.0,534.0,539.0,553.0,539.0,507.0
