AAII_KEY_STATISTICS_DATA,12/31/2022,12/31/2021,06/30/2021,12/31/2020,12/31/2019
Insider_Ownership,58.9,58.9,58.9,58.9,58.9
Institutional_Ownership,0.0,0.0,0.0,0.1,0.0
Net_Insider_Purchases,0.0,0.0,0.0,0.0,0.0
No_of_Employees,2186.0,2083.0,1920.0,1818.0,1238.0
No_of_Institutions,2.0,2.0,2.0,3.0,3.0
