AAII_KEY_STATISTICS_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,0.2,0.2,0.2,0.2
Institutional_Ownership,70.1,70.1,70.1,70.1
Net_Insider_Purchases,0.0,0.0,0.0,0.0
No_of_Employees,1885.0,1885.0,1885.0,1885.0
No_of_Institutions,432.0,432.0,432.0,432.0
