AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Insider_Ownership,4.5,14.3,13.6,,,,
Institutional_Ownership,47.6,39.3,19.1,,8.3,10.1,10.0
Net_Insider_Purchases,581.0,278.0,103.0,,0.0,0.0,0.0
No_of_Employees,43.0,43.0,0.0,0.0,0.0,0.0,0.0
No_of_Institutions,31.0,27.0,27.0,,6.0,6.0,5.0
