AAII_KEY_STATISTICS_DATA,01/31/2021,07/31/2020,04/30/2020
Insider_Ownership,0.7,0.1,0.2
Institutional_Ownership,84.1,78.0,78.5
Net_Insider_Purchases,20.0,4.0,5.0
No_of_Employees,11000.0,12300.0,12300.0
No_of_Institutions,262.0,254.0,252.0
