AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,12/31/2021
Insider_Ownership,1.4,1.2,6.5
Institutional_Ownership,35.6,34.6,37.5
Net_Insider_Purchases,5905.0,6515.0,28720.0
No_of_Employees,1368.0,1522.0,1522.0
No_of_Institutions,45.0,46.0,55.0
