AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Insider_Ownership,0.0,0.0,,,,,
Institutional_Ownership,7.9,13.4,17.7,19.4,17.2,3.7,6.2
Net_Insider_Purchases,2226.0,51.0,0.0,0.0,0.0,0.0,0.0
No_of_Employees,11.0,11.0,12.0,12.0,12.0,21.0,21.0
No_of_Institutions,23.0,22.0,25.0,26.0,27.0,23.0,26.0
