AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020
Insider_Ownership,14.1,0.0,28.1,31.2,4.8,4.8
Institutional_Ownership,26.5,31.9,33.5,38.9,34.8,9.9
Net_Insider_Purchases,278.0,0.0,2383.0,2383.0,578.0,-1744.0
No_of_Employees,200.0,200.0,,,,
No_of_Institutions,82.0,109.0,81.0,71.0,52.0,29.0
