AAII_KEY_STATISTICS_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Insider_Ownership,1.0,,0.0,0.8,0.9,0.9
Institutional_Ownership,93.8,92.4,90.8,88.3,88.0,88.3
Net_Insider_Purchases,77.0,0.0,0.0,91.0,100.0,123.0
No_of_Employees,3900.0,4600.0,4600.0,4600.0,4600.0,5100.0
No_of_Institutions,264.0,293.0,281.0,272.0,285.0,285.0
