AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022
Insider_Ownership,68.6,68.6
Institutional_Ownership,1.4,1.4
Net_Insider_Purchases,0.0,0.0
No_of_Employees,101.0,101.0
No_of_Institutions,1.0,2.0
