AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022
Insider_Ownership,0.8,10.4
Institutional_Ownership,35.6,42.1
Net_Insider_Purchases,-16.0,-27.0
No_of_Employees,139.0,138.0
No_of_Institutions,74.0,68.0
