AAII_KEY_STATISTICS_DATA,03/31/2022,12/31/2021,06/30/2021,12/31/2020,09/30/2020
Insider_Ownership,,,,,
Institutional_Ownership,78.4,76.4,80.4,76.2,0.0
Net_Insider_Purchases,,,,,
No_of_Employees,34.0,34.0,14.0,14.0,14.0
No_of_Institutions,22.0,24.0,31.0,37.0,0.0
