AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021
Insider_Ownership,,0.4,1.0,0.5
Institutional_Ownership,64.0,63.7,66.4,80.1
Net_Insider_Purchases,0.0,25.0,55.0,103.0
No_of_Employees,160.0,129.0,129.0,61.0
No_of_Institutions,62.0,69.0,80.0,69.0
