AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020
Insider_Ownership,,0.0,0.0,0.0,0.0,0.0
Institutional_Ownership,,87.6,75.2,71.5,53.9,0.0
Net_Insider_Purchases,0.0,0.0,0.0,0.0,0.0,0.0
No_of_Employees,,,,,,
No_of_Institutions,60.0,68.0,47.0,46.0,38.0,0.0
