AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021
Insider_Ownership,0.8,0.9,0.9,8.4,8.2
Institutional_Ownership,91.0,89.4,82.6,87.4,85.1
Net_Insider_Purchases,177.0,1300.0,-128016.0,-110984.0,16025.0
No_of_Employees,5700.0,5600.0,5600.0,0.0,0.0
No_of_Institutions,123.0,115.0,88.0,84.0,106.0
