AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Insider_Ownership,39.4,38.7,40.0,40.0,0.6,40.3,7.5
Institutional_Ownership,30.3,37.0,31.3,32.5,32.6,35.9,30.5
Net_Insider_Purchases,79.0,28.0,-123.0,-101.0,-108.0,-129.0,-1315.0
No_of_Employees,774.0,774.0,768.0,768.0,768.0,768.0,283.0
No_of_Institutions,173.0,198.0,177.0,193.0,188.0,185.0,187.0
