AAII_KEY_STATISTICS_DATA,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,1.9,0.7,2.2
Institutional_Ownership,74.1,76.3,71.3
Net_Insider_Purchases,55.0,2.0,78.0
No_of_Employees,658.0,625.0,625.0
No_of_Institutions,55.0,54.0,59.0
