AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Insider_Ownership,2.2,3.4,2.6,1.5,3.3,3.4,2.1
Institutional_Ownership,92.6,92.1,91.1,90.9,90.1,89.8,90.5
Net_Insider_Purchases,1.0,27.0,-18.0,-3.0,56.0,60.0,-8.0
No_of_Employees,389.0,389.0,389.0,370.0,370.0,370.0,369.0
No_of_Institutions,202.0,204.0,223.0,219.0,213.0,204.0,208.0
