AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021
Insider_Ownership,,,,
Institutional_Ownership,86.7,82.8,85.6,84.9
Net_Insider_Purchases,0.0,0.0,0.0,0.0
No_of_Employees,,,,
No_of_Institutions,121.0,107.0,97.0,96.0
