AAII_KEY_STATISTICS_DATA,12/31/2022,06/30/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,09/30/2020,06/30/2020,12/31/2019,09/30/2019
Insider_Ownership,,,,,,,,,,
Institutional_Ownership,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Net_Insider_Purchases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No_of_Employees,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0,682.0
No_of_Institutions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
