AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,0.2,3.3,2.9,0.1,3.0,3.1,9.3,9.4
Institutional_Ownership,36.0,41.4,49.7,49.8,53.9,52.2,58.4,57.9
Net_Insider_Purchases,45.0,258.0,56.0,40.0,330.0,330.0,-192.0,-192.0
No_of_Employees,17.0,17.0,18.0,18.0,18.0,18.0,16.0,16.0
No_of_Institutions,161.0,200.0,207.0,206.0,214.0,208.0,207.0,203.0
