AAII_KEY_STATISTICS_DATA,09/30/2021,06/30/2021,03/31/2021
Insider_Ownership,0.0,0.0,0.0
Institutional_Ownership,72.2,71.9,46.3
Net_Insider_Purchases,0.0,0.0,0.0
No_of_Employees,,,
No_of_Institutions,30.0,29.0,24.0
