AAII_KEY_STATISTICS_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,7.7,7.7,7.8,,
Institutional_Ownership,25.5,16.0,17.8,0.0,0.0
Net_Insider_Purchases,19.0,264.0,350.0,61.0,0.0
No_of_Employees,4800.0,4800.0,4800.0,4500.0,4500.0
No_of_Institutions,5.0,3.0,3.0,1.0,1.0
