AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Insider_Ownership,,,,0.0,0.0,,
Institutional_Ownership,9.2,8.2,6.3,5.0,7.4,12.0,6.3
Net_Insider_Purchases,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No_of_Employees,20.0,20.0,23.0,23.0,23.0,23.0,15.0
No_of_Institutions,40.0,42.0,37.0,34.0,30.0,26.0,23.0
