AAII_KEY_STATISTICS_DATA,03/31/2023,03/31/2022,09/30/2021,03/31/2021,12/31/2020,06/30/2020,03/31/2020
Insider_Ownership,1.8,0.1,0.0,,0.3,0.1,0.1
Institutional_Ownership,10.7,13.4,20.8,,14.2,6.7,9.7
Net_Insider_Purchases,195.0,-25.0,0.0,,541.0,172.0,172.0
No_of_Employees,105.0,18.0,18.0,43.0,43.0,43.0,7.0
No_of_Institutions,54.0,73.0,113.0,,116.0,87.0,79.0
