AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022
Insider_Ownership,1.5,15.8,0.6
Institutional_Ownership,1.5,1.5,2.3
Net_Insider_Purchases,102.0,568.0,11.0
No_of_Employees,23.0,8.0,8.0
No_of_Institutions,13.0,12.0,10.0
