AAII_KEY_STATISTICS_DATA,06/30/2022,12/31/2021,09/30/2021
Insider_Ownership,,,4.2
Institutional_Ownership,99.1,84.2,12.6
Net_Insider_Purchases,0.0,0.0,103.0
No_of_Employees,2734.0,,
No_of_Institutions,141.0,93.0,52.0
