AAII_KEY_STATISTICS_DATA,07/31/2022,01/31/2022,10/31/2021,07/31/2021,01/31/2021,07/31/2020
Insider_Ownership,1.6,0.6,1.2,1.2,0.1,1.6
Institutional_Ownership,93.9,97.8,93.8,94.8,96.4,95.2
Net_Insider_Purchases,59.0,27.0,23.0,32.0,-1.0,55.0
No_of_Employees,10000.0,10000.0,10000.0,10000.0,9900.0,9900.0
No_of_Institutions,241.0,249.0,262.0,267.0,281.0,270.0
