AAII_KEY_STATISTICS_DATA,06/30/2022,12/31/2021,06/30/2021,12/31/2020
Insider_Ownership,,,,
Institutional_Ownership,1.2,4.5,0.2,0.1
Net_Insider_Purchases,,,,
No_of_Employees,526.0,523.0,453.0,380.0
No_of_Institutions,5.0,8.0,3.0,3.0
