AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,12/31/2021,09/30/2021
Insider_Ownership,0.2,0.7,0.7,0.6
Institutional_Ownership,40.6,45.9,35.3,12.3
Net_Insider_Purchases,-39.0,1662.0,1536.0,16986.0
No_of_Employees,1700.0,,,
No_of_Institutions,131.0,129.0,110.0,108.0
