AAII_KEY_STATISTICS_DATA,06/30/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020
Insider_Ownership,,,,19.7,19.7
Institutional_Ownership,45.3,62.8,77.2,76.1,59.4
Net_Insider_Purchases,0.0,0.0,0.0,0.0,0.0
No_of_Employees,,,,,
No_of_Institutions,24.0,35.0,49.0,45.0,32.0
