AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,2.4,3.3,2.6,2.4,2.6,2.0,2.2,2.2,2.5
Institutional_Ownership,,,,,,99.9,95.4,75.6,85.2
Net_Insider_Purchases,-47.0,4.0,314.0,-61.0,-1170.0,-1010.0,-1229.0,-340.0,-127.0
No_of_Employees,357.0,352.0,352.0,295.0,295.0,295.0,295.0,262.0,262.0
No_of_Institutions,180.0,183.0,186.0,198.0,215.0,205.0,191.0,131.0,130.0
