AAII_KEY_STATISTICS_DATA,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Insider_Ownership,,,,
Institutional_Ownership,77.7,70.9,51.6,25.7
Net_Insider_Purchases,,,,
No_of_Employees,3.0,3.0,3.0,
No_of_Institutions,84.0,85.0,71.0,13.0
