AAII_KEY_STATISTICS_DATA,12/31/2020,06/30/2020
Insider_Ownership,2.3,6.1
Institutional_Ownership,0.0,0.0
Net_Insider_Purchases,265.0,893.0
No_of_Employees,19.0,19.0
No_of_Institutions,2.0,2.0
