AAII_KEY_STATISTICS_DATA,03/31/2022,12/31/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Insider_Ownership,6.7,6.5,7.0,6.0,6.7,8.7,6.9,6.8
Institutional_Ownership,28.3,29.6,29.9,29.7,32.5,31.4,32.3,32.4
Net_Insider_Purchases,9.0,8.0,28.0,28.0,5.0,51.0,11.0,15.0
No_of_Employees,158.0,141.0,141.0,141.0,141.0,155.0,155.0,155.0
No_of_Institutions,30.0,30.0,28.0,30.0,30.0,24.0,24.0,24.0
