AAII_KEY_STATISTICS_DATA,09/30/2020,06/30/2020
Insider_Ownership,2.6,2.6
Institutional_Ownership,80.8,81.6
Net_Insider_Purchases,114.0,114.0
No_of_Employees,496.0,496.0
No_of_Institutions,481.0,497.0
