AAII_KEY_STATISTICS_DATA,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019
Insider_Ownership,,,,,
Institutional_Ownership,13.1,12.3,11.4,14.0,12.1
Net_Insider_Purchases,,,,,
No_of_Employees,4.0,4.0,4.0,5.0,5.0
No_of_Institutions,9.0,12.0,8.0,10.0,9.0
