AAII_KEY_STATISTICS_DATA,08/31/2022,02/28/2022,02/28/2021
Insider_Ownership,,,
Institutional_Ownership,6.2,6.2,11.1
Net_Insider_Purchases,0.0,0.0,0.0
No_of_Employees,13.0,13497.0,12667.0
No_of_Institutions,9.0,9.0,12.0
