AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022
Insider_Ownership,24.0,22.4,23.8
Institutional_Ownership,17.7,18.3,16.7
Net_Insider_Purchases,-1520.0,-1586.0,-79.0
No_of_Employees,204.0,,
No_of_Institutions,92.0,73.0,33.0
