AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021
Insider_Ownership,34.5,34.5,34.5,34.5,34.5
Institutional_Ownership,10.7,10.7,10.7,10.7,10.7
Net_Insider_Purchases,0.0,0.0,0.0,0.0,0.0
No_of_Employees,11.0,11.0,11.0,11.0,11.0
No_of_Institutions,21.0,21.0,21.0,21.0,21.0
