AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,03/31/2021
Insider_Ownership,0.9,4.2,4.1,4.1
Institutional_Ownership,18.9,2.2,18.2,0.0
Net_Insider_Purchases,16.0,36.0,0.0,0.0
No_of_Employees,7.0,7.0,5.0,5.0
No_of_Institutions,8.0,6.0,5.0,0.0
