AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,12/31/2021,06/30/2021
Insider_Ownership,1.0,11.6,1.7,20.5
Institutional_Ownership,97.0,90.8,75.1,0.0
Net_Insider_Purchases,36.0,-2009.0,6.0,-15942.0
No_of_Employees,581.0,459.0,459.0,440.0
No_of_Institutions,263.0,257.0,252.0,1.0
