AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022
Insider_Ownership,0.0,23.4,
Institutional_Ownership,66.7,72.8,65.6
Net_Insider_Purchases,-20.0,-1393.0,0.0
No_of_Employees,440.0,256.0,256.0
No_of_Institutions,159.0,162.0,159.0
