AAII_KEY_STATISTICS_DATA,12/31/2020,06/30/2020
Insider_Ownership,,15.0
Institutional_Ownership,2.0,1.2
Net_Insider_Purchases,0.0,0.0
No_of_Employees,276.0,276.0
No_of_Institutions,13.0,11.0
