AAII_KEY_STATISTICS_DATA,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,0.2,0.2,0.2
Institutional_Ownership,5.6,40.7,68.7
Net_Insider_Purchases,-556.0,-48381.0,-48352.0
No_of_Employees,4500.0,5800.0,5800.0
No_of_Institutions,36.0,144.0,212.0
