AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,06/30/2021
Insider_Ownership,46.2,46.5,36.8
Institutional_Ownership,44.0,30.0,56.3
Net_Insider_Purchases,34122.0,32233.0,16296.0
No_of_Employees,1200.0,1200.0,
No_of_Institutions,143.0,134.0,95.0
