AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021
Insider_Ownership,,,,,
Institutional_Ownership,80.2,80.2,80.2,80.2,80.2
Net_Insider_Purchases,,,,,
No_of_Employees,5357.0,5357.0,5222.0,5222.0,5222.0
No_of_Institutions,341.0,341.0,341.0,341.0,341.0
