AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021
Insider_Ownership,25.0,1.9,,35.3
Institutional_Ownership,7.8,7.3,4.3,21.5
Net_Insider_Purchases,231.0,-1694.0,0.0,25512.0
No_of_Employees,56.0,139.0,139.0,
No_of_Institutions,52.0,52.0,39.0,45.0
