AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020,12/31/2019,09/30/2019
Insider_Ownership,0.1,1.3,1.3,,0.8,1.0,1.2,1.2,0.4,0.6
Institutional_Ownership,99.2,98.0,94.1,88.4,86.8,77.5,71.4,82.4,82.8,82.8
Net_Insider_Purchases,-31.0,48.0,353.0,0.0,-6.0,576.0,637.0,840.0,8.0,-36.0
No_of_Employees,39576.0,40582.0,40582.0,43717.0,43717.0,43717.0,43717.0,50182.0,53349.0,53349.0
No_of_Institutions,430.0,449.0,467.0,379.0,389.0,398.0,383.0,385.0,395.0,397.0
