AAII_KEY_STATISTICS_DATA,03/31/2022,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Insider_Ownership,3.1,2.3,3.3,3.7,1.3
Institutional_Ownership,72.8,69.4,67.7,65.4,68.4
Net_Insider_Purchases,143.0,206.0,-102.0,-42.0,-57.0
No_of_Employees,435.0,360.0,360.0,360.0,272.0
No_of_Institutions,236.0,240.0,235.0,215.0,189.0
