AAII_KEY_STATISTICS_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,0.2,0.5,0.4,0.1,0.4
Institutional_Ownership,83.0,84.7,86.9,93.2,91.0
Net_Insider_Purchases,14.0,31.0,17.0,18.0,25.0
No_of_Employees,4000.0,4000.0,4000.0,4000.0,4000.0
No_of_Institutions,322.0,343.0,334.0,316.0,316.0
