AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021
Insider_Ownership,5.1,5.3,5.1,7.1,2.9,0.0
Institutional_Ownership,50.6,61.1,61.4,13.0,0.0,
Net_Insider_Purchases,877.0,887.0,664.0,13106.0,1792.0,0.0
No_of_Employees,26.0,24.0,24.0,31.0,31.0,31.0
No_of_Institutions,41.0,36.0,34.0,1.0,0.0,
