AAII_KEY_STATISTICS_DATA,04/01/2023,06/25/2022,03/26/2022,09/25/2021,06/26/2021,03/27/2021,12/31/2020,09/26/2020,06/27/2020
Insider_Ownership,0.3,3.3,1.1,0.0,2.0,3.1,1.1,2.2,2.2
Institutional_Ownership,76.3,80.1,80.5,74.2,77.0,75.9,73.2,70.4,69.8
Net_Insider_Purchases,55.0,122.0,65.0,0.0,185.0,365.0,180.0,100.0,100.0
No_of_Employees,2500.0,2500.0,2500.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
No_of_Institutions,195.0,195.0,201.0,199.0,215.0,210.0,192.0,196.0,200.0
