AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,0.3,1.5,1.3,1.5,2.2,2.5,1.4,1.8
Institutional_Ownership,9.7,15.6,22.6,29.9,41.6,33.9,54.4,51.6
Net_Insider_Purchases,141.0,77.0,106.0,-112.0,1082.0,1362.0,-31300.0,-31309.0
No_of_Employees,119.0,119.0,147.0,147.0,147.0,147.0,53.0,53.0
No_of_Institutions,51.0,77.0,89.0,103.0,143.0,127.0,151.0,164.0
